№ з/п,Код за ЄДРПОУ балансоутримувача,Повне найменування балансоутримувача,Місцезнаходження балансоутримувача,Код суб'єкта управління майном,Назва суб'єкта управління майном,"Кількість нерухомого державного майна (будівель та споруд), крім майна, розташованого на території АР Крим тв м. Севастополя"
7680,00953065,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЛУЦЬКИЙ КОМБІНАТ ХЛІБОПРОДУКТІВ №2"" ДЕРЖАВНОГО АГЕНТСТВА РЕЗЕРВУ УКРАЇНИ","45650 ВОЛИНСЬКА ОБЛ., ЛУЦЬКИЙ Р-Н, С.РОВАНЦІ, ВУЛ.ПРОМИСЛОВА, БУД. 4",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,30
7681,14293158,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СТРИЙСЬКИЙ КОМБІНАТ ХЛІБОПРОДУКТІВ №1"" ДЕРЖАВНОГО АГЕНТСТВА РЕЗЕРВУ УКРАЇНИ""","82400 ЛЬВІВСЬКА ОБЛ., М.СТРИЙ, ВУЛИЦЯ ГРАБОВЕЦЬКА, 2",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,31
7682,37536010,ДЕРЖАВНЕ АГЕНТСТВО З ЕНЕРГОЕФЕКТИВНОСТІ ТА ЕНЕРГОЗБЕРЕЖЕННЯ УКРАЇНИ,"1001 М.КИЇВ, ПЕЧЕРСЬКИЙ Р-Н, ПРОВ.МУЗЕЙНИЙ, БУД. 12",36204,ДЕРЖАВНЕ АГЕНТСТВО З ЕНЕРГОЕФЕКТИВНОСТІ ТА ЕНЕРГОЗБЕРЕЖЕННЯ УКРАЇНИ,2
7683,35996892,ДЕРЖАВНЕ ПІДПРИЄМСТВО ВІННИЦЬКИЙ ЕКСПЕРТНИЙ ЦЕНТР З ЕНЕРГОЕФЕКТИВНОСТІ,"21032 М.ВІННИЦЯ, ВУЛ.КИЇВСЬКА, БУД. 16, ОФ. 616",36204,ДЕРЖАВНЕ АГЕНТСТВО З ЕНЕРГОЕФЕКТИВНОСТІ ТА ЕНЕРГОЗБЕРЕЖЕННЯ УКРАЇНИ,1
7684,35195025,ЧЕРНІГІВСЬКЕ ОБЛАСНЕ УПРАВЛІННЯ ЛІСОВОГО ТА МИСЛИВСЬКОГО ГОСПОДАРСТВА,"14000 М.ЧЕРНІГІВ, ДЕСНЯНСЬКИЙ Р-Н, ВУЛ.П'ЯТНИЦЬКА, БУД. 8",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,1
7685,35361371,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СОКИРЯНСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","60221 ЧЕРНІВЕЦЬКА ОБЛ., СОКИРЯНСЬКИЙ Р-Н, С.ШИШКІВЦІ, СТАНЦІЯ ВАСКАУЦИ, ВУЛИЦЯ ЗАЛІЗНИЧНА, БУД. 5В",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,114
7686,00992473,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СКОЛІВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","82600 ЛЬВІВСЬКА ОБЛ., СКОЛІВСЬКИЙ Р-Н, М.СКОЛЕ, ВУЛ.СТРИЙСЬКА, БУД. 30",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,42
7687,00992467,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЗОЛОЧІВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","80743 ЛЬВІВСЬКА ОБЛ., ЗОЛОЧІВСЬКИЙ Р-Н, С.СТРУТИН",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,57
7688,00992450,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""РАВА-РУСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","80316 ЛЬВІВСЬКА ОБЛ., ЖОВКІВСЬКИЙ Р-Н, М.РАВА-РУСЬКА, ВУЛ.ВОЛОДИМИРА ВЕЛИКОГО, БУД. 99",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,37
7689,00992504,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""БУСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","80500 ЛЬВІВСЬКА ОБЛ., БУСЬКИЙ Р-Н, М.БУСЬК, ВУЛ.СІЧОВИХ СТРІЛЬЦІВ, БУД. 39",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,46
7690,00992444,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""БРОДІВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","80602 ЛЬВІВСЬКА ОБЛ., БРОДІВСЬКИЙ Р-Н, М.БРОДИ, ВУЛ.НИЗЬКА, БУД. 15",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,72
7691,00992510,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""САМБІРСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","81400 ЛЬВІВСЬКА ОБЛ., М.САМБІР, ВУЛ.КОНОВАЛЬЦЯ, БУД. 15",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,62
7692,35219145,ТЕРНОПІЛЬСЬКЕ ОБЛАСНЕ УПРАВЛІННЯ ЛІСОВОГО ТА МИСЛИВСЬКОГО ГОСПОДАРСТВА,"46008 М.ТЕРНОПІЛЬ, ВУЛ.БАГАТА, БУД. 5 А",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,2
7693,00992438,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЖОВКІВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","80300 ЛЬВІВСЬКА ОБЛ., ЖОВКІВСЬКИЙ Р-Н, М.ЖОВКВА, ВУЛ.ЛІСНА, БУД. 3",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,31
7694,00992421,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СТАРОСАМБІРСЬКЕ ЛІСОМИСЛИВСЬКЕ ГОСПОДАРСТВО""","82000 ЛЬВІВСЬКА ОБЛ., СТАРОСАМБІРСЬКИЙ Р-Н, М.СТАРИЙ САМБІР, ВУЛ.ДРОГОБИЦЬКА, БУД. 2",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,31
7695,00992415,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СТРИЙСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","82460 ЛЬВІВСЬКА ОБЛ., СТРИЙСЬКИЙ Р-Н, С.ЛОТАТНИКИ, ВУЛ.ЛЕСІ УКРАЇНКИ, БУД. 11",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,57
7696,00992488,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""БІБРСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","81220 ЛЬВІВСЬКА ОБЛ., ПЕРЕМИШЛЯНСЬКИЙ Р-Н, М.БІБРКА, ВУЛ.ВАСИЛЯ СТУСА, БУД. 44",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,32
7697,00992579,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""БАЛТСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","66101 ОДЕСЬКА ОБЛ., М.БАЛТА, ВУЛ.ШЕВЧЕНКА, БУД. 5 А",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,83
7698,20762097,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""БОРИНСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","82547 ЛЬВІВСЬКА ОБЛ., ТУРКІВСЬКИЙ Р-Н, СМТ БОРИНЯ",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,14
7699,00991999,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПОЛОГІВСЬКЕ ЛІСОМИСЛИВСЬКЕ ГОСПОДАРСТВО""","70606 ЗАПОРІЗЬКА ОБЛ., ПОЛОГІВСЬКИЙ Р-Н, М.ПОЛОГИ, ВУЛ.СХІДНА, БУД. 11",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,188
7700,00992007,ДЕРЖАВНЕ ПІДПРИЄМСТВО КАМ'ЯНСЬКО-ДНІПРОВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО,"71304 ЗАПОРІЗЬКА ОБЛ., КАМ'ЯНСЬКО-ДНІПРОВСЬКИЙ Р-Н, М.КАМ'ЯНКА-ДНІПРОВСЬКА, ВУЛ.ПЕРШОТРАВНЕВА, БУД. 7",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,81
7701,05430811,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НОВОУШИЦЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","32600 ХМЕЛЬНИЦЬКА ОБЛ., НОВОУШИЦЬКИЙ Р-Н, СМТ НОВА УШИЦЯ, ВУЛ.ГАГАРІНА, БУД. 72",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,124
7702,35192689,КІРОВОГРАДСЬКЕ ОБЛАСНЕ УПРАВЛІННЯ ЛІСОВОГО ТА МИСЛИВСЬКОГО ГОСПОДАРСТВА,"25006 М.КРОПИВНИЦЬКИЙ, ПОДІЛЬСЬКИЙ Р-Н, ВУЛ.ТАРАСА КАРПИ, БУД. 76",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,1
7703,00992591,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ІЗМАЇЛЬСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","68606 ОДЕСЬКА ОБЛ., М.ІЗМАЇЛ, ВУЛ.ПЕРШОТРАВНЕВА, БУД. 8",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,54
7704,32626235,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""РАФАЛІВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","34371 РІВНЕНСЬКА ОБЛ., ВОЛОДИМИРЕЦЬКИЙ Р-Н, СМТ РАФАЛІВКА, ВУЛ.ПРИВОКЗАЛЬНА, БУД. 1",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,45
7705,35213572,ВОЛИНСЬКЕ ОБЛАСНЕ УПРАВЛІННЯ ЛІСОВОГО ТА МИСЛИВСЬКОГО ГОСПОДАРСТВА,"43010 М.ЛУЦЬК, ПРОСП.ВОЛІ, БУД. 30",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,1
7706,00992036,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДИМЕРСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","7313 КИЇВСЬКА ОБЛ., ВИШГОРОДСЬКИЙ Р-Н, С.КАТЮЖАНКА, ВУЛ.ШЕВЧЕНКА, БУД. 1",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,137
7707,35206523,ПОЛТАВСЬКЕ ОБЛАСНЕ УПРАВЛІННЯ ЛІСОВОГО ТА МИСЛИВСЬКОГО ГОСПОДАРСТВА,"36018 М.ПОЛТАВА, ПОДІЛЬСЬКИЙ Р-Н, ВУЛ.ГУЛАКА-АРТЕМОВСЬКОГО, БУД. 22",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,4
7708,00992562,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ВРАДІЇВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","56341 МИКОЛАЇВСЬКА ОБЛ., ВРАДІЇВСЬКИЙ Р-Н, С.НОВОПАВЛІВКА, ВУЛ.ЛІСОВА, БУД. 26",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,41
7709,00992556,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ВОЗНЕСЕНСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","56541 МИКОЛАЇВСЬКА ОБЛ., ВОЗНЕСЕНСЬКИЙ Р-Н, С.БУЗЬКЕ, ВУЛ.МАР'ЇНА РОЩА, БУД. 3",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,66
7710,00992542,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""БАШТАНСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","56101 МИКОЛАЇВСЬКА ОБЛ., БАШТАНСЬКИЙ Р-Н, М.БАШТАНКА, ВУЛ.ПОЛТАВСЬКА, БУД. 10",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,15
7711,00992533,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ВЕСЕЛИНІВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","57001 МИКОЛАЇВСЬКА ОБЛ., ВЕСЕЛИНІВСЬКИЙ Р-Н, СМТ ВЕСЕЛИНОВЕ, ВУЛ.ОДЕСЬКА, БУД. 96",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,21
7712,00992042,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""БОГУСЛАВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","9737 КИЇВСЬКА ОБЛ., БОГУСЛАВСЬКИЙ Р-Н, С.ПОТАШНЯ, ВУЛ.ЛІСОВА, БУД. 48",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,112
7713,05432193,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""БЕРДЯНСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","71154 ЗАПОРІЗЬКА ОБЛ., М.БЕРДЯНСЬК, С.АЗОВСЬКЕ, ВУЛ.ГАГАРІНА, БУД. 106",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,147
7714,34283057,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАРОДИЦЬКЕ СПЕЦІАЛІЗОВАНЕ ЛІСОВЕ ГОСПОДАРСТВО""","11400 ЖИТОМИРСЬКА ОБЛ., НАРОДИЦЬКИЙ Р-Н, СМТ НАРОДИЧІ, ВУЛ.СВЯТО-МИКОЛАЇВСЬКА, БУД. 129",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,143
7715,00992585,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""САРАТСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","68200 ОДЕСЬКА ОБЛ., САРАТСЬКИЙ Р-Н, СМТ САРАТА, ВУЛ.КОТОВСЬКОГО, БУД. 1",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,98
7716,35294300,ЧЕРНІВЕЦЬКЕ ОБЛАСНЕ УПРАВЛІННЯ ЛІСОВОГО ТА МИСЛИВСЬКОГО ГОСПОДАРСТВА,"58023 М.ЧЕРНІВЦІ, ВУЛ.РУСЬКА, БУД. 203 А",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,1
7717,00992390,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДРОГОБИЦЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","82100 ЛЬВІВСЬКА ОБЛ., М.ДРОГОБИЧ, ВУЛ.СТРИЙСЬКА, БУД. 29",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,48
7718,35276386,ІВАНО-ФРАНКІВСЬКЕ ОБЛАСНЕ УПРАВЛІННЯ ЛІСОВОГО ТА МИСЛИВСЬКОГО ГОСПОДАРСТВА,"76015 М.ІВАНО-ФРАНКІВСЬК, ВУЛ.М.ГРУШЕВСЬКОГО, БУД. 31",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,7
7719,00991976,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МЕЛІТОПОЛЬСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","72350 ЗАПОРІЗЬКА ОБЛ., МЕЛІТОПОЛЬСЬКИЙ Р-Н, СМТ МИРНЕ, ВУЛ.ДРУЖБИ, БУД. 4",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,71
7720,35280020,РІВНЕНСЬКЕ ОБЛАСНЕ УПРАВЛІННЯ ЛІСОВОГО ТА МИСЛИВСЬКОГО ГОСПОДАРСТВА,"33028 М.РІВНЕ, ВУЛ.ПУШКІНА, БУД. 26",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,3
7721,05453953,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""БЕРЕЗНЕГУВАТСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","56200 МИКОЛАЇВСЬКА ОБЛ., БЕРЕЗНЕГУВАТСЬКИЙ Р-Н, СМТ БЕРЕЗНЕГУВАТЕ, ВУЛ.СПАРТАКА, БУД. 4",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,23
7722,00992065,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КЛАВДІЄВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","7850 КИЇВСЬКА ОБЛ., БОРОДЯНСЬКИЙ Р-Н, СМТ КЛАВДІЄВО-ТАРАСОВЕ, ВУЛ.ВЕРБНА, БУД. 4",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,78
7723,00992148,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""РЖИЩІВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","9230 КИЇВСЬКА ОБЛ., М.РЖИЩІВ, ВУЛ.ШЕВЧЕНКА, БУД. 91",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,48
7724,00992177,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДОЛИНСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","28500 КІРОВОГРАДСЬКА ОБЛ., ДОЛИНСЬКИЙ Р-Н, М.ДОЛИНСЬКА, ВУЛ.ЦЕНТРАЛЬНА, БУД. 1А",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,44
7725,00992131,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПЕРЕЯСЛАВ-ХМЕЛЬНИЦЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","8421 КИЇВСЬКА ОБЛ., ПЕРЕЯСЛАВ-ХМЕЛЬНИЦЬКИЙ Р-Н, С.СТУДЕНИКИ, ВУЛ.КІЛЬЦЕВА, БУД. 21",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,54
7726,35260879,ХМЕЛЬНИЦЬКЕ ОБЛАСНЕ УПРАВЛІННЯ ЛІСОВОГО ТА МИСЛИВСЬКОГО ГОСПОДАРСТВА,"29000 М.ХМЕЛЬНИЦЬКИЙ, ВУЛ.КАМ'ЯНЕЦЬКА, БУД. 55",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,2
7727,35298111,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СПЕЦІАЛІЗОВАНЕ ЛІСОГОСПОДАРСЬКЕ АГРОПРОМИСЛОВЕ ПІДПРИЄМСТВО ""ЛЮБЕШІВАГРОЛІС""","44200 ВОЛИНСЬКА ОБЛ., ЛЮБЕШІВСЬКИЙ Р-Н, СМТ ЛЮБЕШІВ, ВУЛ.НЕЗАЛЕЖНОСТІ, БУД. 1 А",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,1
7728,00992125,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПОЛІСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","7024 КИЇВСЬКА ОБЛ., ПОЛІСЬКИЙ Р-Н, С.РАДИНКА, ВУЛ.МИРУ, БУД. 48",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,53
7729,31383407,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НОВОСЕЛИЦЬКЕ ДЕРЖАВНЕ СПЕЦІАЛІЗОВАНЕ ЛІСНИЦТВО АГРОПРОМИСЛОВОГО КОМПЛЕКСУ ""","60352 ЧЕРНІВЕЦЬКА ОБЛ., НОВОСЕЛИЦЬКИЙ Р-Н, С.КОСТИЧАНИ, ВУЛ.28 ЧЕРВНЯ, БУД. 26 С",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,1
7730,00992119,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""БІЛОЦЕРКІВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","9130 КИЇВСЬКА ОБЛ., БІЛОЦЕРКІВСЬКИЙ Р-Н, С.ДРОЗДИ, УРОЧ.""ТОВСТА"", КВАРТАЛ 50",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,145
7731,00992102,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""БОРИСПІЛЬСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","8324 КИЇВСЬКА ОБЛ., БОРИСПІЛЬСЬКИЙ Р-Н, С.ГОРА, ВУЛ.ЛІСОВА, БУД. 1",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,77
7732,00992088,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ІВАНКІВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","7200 КИЇВСЬКА ОБЛ., ІВАНКІВСЬКИЙ Р-Н, СМТ ІВАНКІВ, ВУЛ.ПОЛІСЬКА, БУД. 22",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,155
7733,00992094,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ВИЩЕДУБЕЧАНСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","7342 КИЇВСЬКА ОБЛ., ВИШГОРОДСЬКИЙ Р-Н, С.ПІРНОВЕ, ВУЛ.КИЇВСЬКА",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,52
7734,00992071,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ТЕТЕРІВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","7820 КИЇВСЬКА ОБЛ., БОРОДЯНСЬКИЙ Р-Н, СМТ ПІСКІВКА, ВУЛ.ФІЛІПОВА, БУД. 36",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,114
7735,00992220,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КОМПАНІЇВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","28400 КІРОВОГРАДСЬКА ОБЛ., КОМПАНІЇВСЬКИЙ Р-Н, СМТ КОМПАНІЇВКА, ВУЛ.ЛІСНА, БУД. 2",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,38
7736,00992160,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МАКАРІВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","8001 КИЇВСЬКА ОБЛ., МАКАРІВСЬКИЙ Р-Н, СМТ МАКАРІВ, ВУЛ.ЯРОСЛАВА МУДРОГО, БУД. 17/1",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,115
7737,00992384,"ДЕРЖАВНЕ ПІДПРИЄМСТВО "" СЛАВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","82660 ЛЬВІВСЬКА ОБЛ., СКОЛІВСЬКИЙ Р-Н, СМТ СЛАВСЬКЕ, ВУЛ.ОЛЕНИ СТЕПАНІВНИ, БУД. 7",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,32
7738,00152595,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КИЇВСЬКА ЛІСОВА НАУКОВО-ДОСЛІДНА СТАНЦІЯ""","7352 КИЇВСЬКА ОБЛ., ВИШГОРОДСЬКИЙ Р-Н, С.ЛЮТІЖ",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,44
7739,00992378,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""РАДЕХІВСЬКЕ ЛІСОМИСЛИВСЬКЕ ГОСПОДАРСТВО""","80200 ЛЬВІВСЬКА ОБЛ., РАДЕХІВСЬКИЙ Р-Н, М.РАДЕХІВ, ВУЛ.ВИТКІВСЬКА, БУД. 26",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,52
7740,35318279,ЧЕРКАСЬКЕ ОБЛАСНЕ УПРАВЛІННЯ ЛІСОВОГО ТА МИСЛИВСЬКОГО ГОСПОДАРСТВА,"18009 М.ЧЕРКАСИ, СОСНІВСЬКИЙ Р-Н, ПРОВ.МЕДИЧНИЙ, БУД. 4",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,10
7741,00992059,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ФАСТІВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО ""","8500 КИЇВСЬКА ОБЛ., М.ФАСТІВ, ВУЛ.КОМАРОВА, БУД. 45",37064,ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,138
